Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
Gazprom PJSC,GAZP,"5,947,577",0.06,NA
Wal-Mart de Mex,WALMEX,"9,710,397",0.06,NA
CLP Holdings Lt,2,"3,082,371",0.06,NA
Otsuka Holdings,4578,"788,000",0.06,NA
Henkel AG & Co,HEN3,"322,748",0.06,NA
BeiGene Ltd,6160,"1,118,500",0.06,NA
Siemens Healthi,SHL,"519,798",0.06,NA
Mitsubishi Esta,8802,"2,146,683",0.06,NA
Sun Hung Kai Pr,16,"2,676,994",0.06,NA
China Steel Cor,2002,"23,059,234",0.06,NA
Rogers Communic,RCI.B,"649,451",0.06,NA
Swiss Life Hold,SLHN,"57,969",0.06,NA
PTT PCL,PTT-F,"26,234,678",0.06,NA
Carlsberg AS,CARL,"182,050",0.06,NA
Fomento Economi,FEMSAUBD,"3,434,127",0.06,NA
Cathay Financia,2882,"15,471,661",0.06,NA
SGS SA,SGSN,"11,026",0.06,NA
Bank Rakyat Ind,BBRI,"122,130,704",0.06,NA
Entain plc,ENT,"1,089,398",0.06,0.00
BT Group plc,BT.A,"14,070,862",0.06,NA
Power Corp. of ,POW Quick QuotePOW,"1,012,321",0.06,975.00
Pembina Pipelin,PPL Quick QuotePPL,"1,027,299",0.06,6.04
Wheaton Preciou,WPM Quick QuoteWPM,"842,770",0.06,-1.23
Stellantis NV,STLA Quick QuoteSTLA,"1,726,792",0.06,18.71
XPeng Inc,XPEV Quick QuoteXPEV,"885,537",0.06,-20.30
Trip.com Group ,TCOM Quick QuoteTCOM,"982,414",0.06,-25.48
United Microele,UMC Quick QuoteUMC,"2,820,176",0.06,13.81
Itau Unibanco H,ITUB Quick QuoteITUB,"6,163,038",0.06,-26.35
3i Group plc,III Quick QuoteIII,"1,790,588",0.06,70.16
James Hardie In,JHX Quick QuoteJHX,"836,251",0.06,14.56
Nice Ltd,NICE Quick QuoteNICE,"119,659",0.06,-10.66
Petroleo Brasil,PBR.A Quick QuotePBR.A,"3,036,130",0.06,9.21
NN Group NV,NN Quick QuoteNN,"579,692",0.06,-31.26
NatWest Group p,NWG Quick QuoteNWG,"9,802,614",0.06,51.64
MTN Group Ltd,MTN Quick QuoteMTN,"3,359,408",0.06,4.00
