Security Name,Symbol,Shares,Weight(%),52 Wk Change(%)
Flughafen Zuric,FHZN,"34,982",0.01,NA
Asics Corp,7936,"318,635",0.01,NA
NH Foods Ltd,2282,"184,778",0.01,NA
LPP SA,LPP,"2,056",0.01,NA
Chiba Bank Ltd,8331,"1,127,446",0.01,NA
OPAP SA,OPAP,"384,724",0.01,NA
Kyushu Electric,9508,"861,068",0.01,NA
Wanhua Chemical,600309,"410,500",0.01,NA
Inmobiliaria Co,COL,"615,846",0.01,0.00
TOTVS SA,TOTS3,"1,020,139",0.01,NA
Winbond Electro,2344,"5,823,000",0.01,NA
Reply SPA,REY,"41,528",0.01,NA
Shanxi Xinghuac,600809,"159,460",0.01,NA
Quilter plc,QLT,"3,179,156",0.01,NA
Shinsei Bank Lt,8303,"324,244",0.01,NA
Cholamandalam I,CHOLAFIN,"746,376",0.01,NA
AusNet Services,AST,"3,465,106",0.01,0.00
Rohto Pharmaceu,4527,"180,225",0.01,NA
Guangzhou Autom,2238,"6,038,058",0.01,NA
Equatorial Ener,EQTL3,"1,682,390",0.01,NA
Jeol Ltd,6951,"77,500",0.01,NA
NEXTDC Ltd,NXT,"857,592",0.01,NA
Japan Post Insu,7181,"370,639",0.01,NA
Fletcher Buildi,FBU,"1,519,496",0.01,NA
United Urban In,8960,"5,523",0.01,NA
NOF Corp,4403,"124,350",0.01,NA
Rheinmetall AG,RHM,"80,540",0.01,NA
Hapvida Partici,HAPV3,"2,355,713",0.01,NA
Grupo Aeroportu,ASURB,"370,920",0.01,NA
Wipro Ltd,WIPRO,"845,819",0.01,NA
Lion Corp,4912,"471,370",0.01,NA
Nomura Real Est,3231,"209,619",0.01,NA
Wistron Corp,3231,"5,417,445",0.01,NA
carsales.com Lt,CAR Quick QuoteCAR,"429,962",0.01,324.77
ANDRITZ AG,ANDR Quick QuoteANDR,"137,974",0.01,-46.53
Bendigo & Adela,BEN Quick QuoteBEN,"1,024,596",0.01,17.72
CD Projekt SA,CDR Quick QuoteCDR,"125,351",0.01,112.30
Bankinter SA,BKT Quick QuoteBKT,"1,277,499",0.01,0.00
Aeroports de Pa,ADP Quick QuoteADP,"53,210",0.01,33.74
Bancolombia SA,CIB Quick QuoteCIB,"220,793",0.01,-9.71
AU Optronics Co,AUOTY Quick QuoteAUOTY,"875,321",0.01,54.79
TechnipFMC plc,FTI Quick QuoteFTI,"883,926",0.01,-42.65
DiGi.Com Bhd,DIGI Quick QuoteDIGI,"6,815,766",0.01,76.92
Dino Polska SA,DNP Quick QuoteDNP,"90,794",0.01,0.00
Elbit Systems L,ESLT Quick QuoteESLT,"46,372",0.01,22.10
Downer EDI Ltd,DOW Quick QuoteDOW,"1,301,549",0.01,-3.16
easyJet plc,EZJ Quick QuoteEZJ,"696,653",0.01,0.00
New Oriental Ed,EDU Quick QuoteEDU,"2,772,948",0.01,-90.82
Italgas SPA,IG Quick QuoteIG,"958,305",0.01,0.00
IGM Financial I,IGM Quick QuoteIGM,"149,578",0.01,0.00
Lufax Holding L,LU Quick QuoteLU,"1,042,354",0.01,-66.19
NEPI Rockcastle,NRP Quick QuoteNRP,"804,636",0.01,116.75
MultiChoice Gro,MCG Quick QuoteMCG,"801,084",0.01,939.00
Mercury NZ Ltd,MCY Quick QuoteMCY,"1,256,170",0.01,-3.98
Wendel SE,MF Quick QuoteMF,"50,833",0.01,321.00
Magellan Financ,MFG Quick QuoteMFG,"259,881",0.01,-0.36
Klepierre SA,LI Quick QuoteLI,"339,884",0.01,-21.63
Orica Ltd,ORI Quick QuoteORI,"772,361",0.01,26.17
Salmar ASA,SALM Quick QuoteSALM,"100,483",0.01,67.44
Sociedad Quimic,SQM Quick QuoteSQM,"117,578",0.01,-5.81
Schibsted ASA,SCHA Quick QuoteSCHA,"140,880",0.01,0.00
Schibsted ASA,SCHB Quick QuoteSCHB,"184,204",0.01,0.00
Bank Polska Kas,PEO Quick QuotePEO,"292,243",0.01,0.00
RLX Technology ,RLX Quick QuoteRLX,"1,359,920",0.01,356.00
Shopify Inc,SHOP Quick QuoteSHOP,"4,540",0.01,-26.55
Tencent Music E,TME Quick QuoteTME,"1,091,114",0.01,-75.52
ZTO Express Cay,ZTO Quick QuoteZTO,"223,215",0.01,-7.43
Tower Semicondu,TSEM Quick QuoteTSEM,"200,522",0.01,17.14
PLDT Inc,TEL Quick QuoteTEL,"170,286",0.01,15.74
Tenaris SA,TEN Quick QuoteTEN,"686,903",0.01,-1.96
Covivio,COV,"93,063",0.01,NA
Clariant AG,CLN,"421,034",0.01,NA
JG Summit Holdi,JGS,"5,660,940",0.01,NA
Dubai Islamic B,DIB,"5,389,038",0.01,NA
Sociedad Quimic,SQM-B,"137,246",0.01,NA
East Money Info,300059,"1,353,316",0.01,NA
Eneva SA,ENEV3,"1,799,400",0.01,NA
Qube Holdings L,QUB,"2,723,174",0.01,NA
Welcia Holdings,3141,"184,448",0.01,NA
Korea Zinc Co. ,10130,"18,485",0.01,NA
Meridian Energy,MEL,"2,324,008",0.01,NA
Powertech Techn,6239,"1,424,000",0.01,NA
InPost SA,INPST,"373,204",0.01,NA
NGK Spark Plug ,5334,"362,002",0.01,NA
POSCO Chemical ,3670,"50,771",0.01,NA
SBI Cards & Pay,SBICARD,"476,762",0.01,NA
Energy Absolute,EA-F,"2,988,041",0.01,NA
Holmen AB,HOLM,"176,969",0.01,NA
IHI Corp,7013,"238,024",0.01,NA
Axiata Group Bh,AXIATA,"8,332,024",0.01,NA
Hiscox Ltd,HSX,"624,118",0.01,NA
HomeServe plc,HSV,"522,805",0.01,NA
Pharmaron Beiji,300759,"163,568",0.01,NA
Hyundai Motor C,5387,"66,545",0.01,NA
Max Financial S,MFSL,"447,010",0.01,NA
Northam Platinu,NPH,"648,553",0.01,NA
Severstal PAO,SVST,"297,905",0.01,NA
Land & Houses P,LH-R,"6,394,100",0.01,NA
FGV Holdings Bh,FGV,"1,008,700",0.01,NA
Ningbo Tuopu Gr,601689,"115,600",0.01,NA
DHC Software Co,2065,"399,300",0.01,NA
Ulvac Inc,6728,"88,146",0.01,NA
Wuxi Lead Intel,300450,"103,740",0.01,NA
Home Product Ce,HMPRO-F,"10,803,692",0.01,NA
Jointown Pharma,600998,"241,100",0.01,NA
Tianjin 712 Com,603712,"44,200",0.01,NA
Platinum Asset ,PTM,"558,365",0.01,0.00
Banpu PCL,BANPU-F,"10,729,808",0.01,NA
ComfortDelGro C,C52,"3,817,391",0.01,NA
All Winner Tech,300458,"38,800",0.01,NA
Yangtze Optical,6869,"178,430",0.01,NA
Yokohama Rubber,5101,"194,563",0.01,NA
Avary Holding S,2938,"108,600",0.01,NA
Ecopetrol SA,ECOPETROL,"5,845,448",0.01,NA
Sumitomo Bakeli,4203,"59,679",0.01,NA
Dongxing Securi,601198,"356,192",0.01,NA
Vodafone Qatar ,VFQS,"2,870,458",0.01,NA
Sodexo SA,SW,"51,256",0.01,NA
Reinet Investme,RNI,"263,731",0.01,NA
Cencosud Shoppi,CENCOSHOPP,"876,636",0.01,NA
Mayora Indah Tb,MYOR,"6,456,700",0.01,NA
Contec Medical ,300869,"11,700",0.01,NA
TBEA Co. Ltd,600089,"480,100",0.01,NA
Seegene Inc,96530,"53,750",0.01,NA
Coca-Cola Bottl,2579,"261,704",0.01,NA
China Southern ,1055,"3,681,237",0.01,NA
JUMBO SA,BELA,"208,305",0.01,NA
China TransInfo,2373,"137,600",0.01,NA
GMO internet In,9449,"104,482",0.01,NA
Banco Inter SA,BIDI3,"798,141",0.01,NA
Itau CorpBanca ,ITAUCORP,"307,847,806",0.01,NA
Hanjaya Mandala,HMSP,"15,846,300",0.01,NA
Husqvarna AB,HUSQ,"5,486",0.01,NA
Bank of Communi,601328,"3,509,000",0.01,NA
Alteogen Inc,196170,"50,661",0.01,NA
Dian Diagnostic,300244,"69,400",0.01,NA
NagaCorp Ltd,3918,"2,770,788",0.01,NA
China Molybdenu,3993,"7,263,984",0.01,NA
Zhuzhou CRRC Ti,3898,"955,225",0.01,NA
Sendas Distribu,ASAI3,"951,210",0.01,NA
Colbun SA,COLBUN,"13,117,670",0.01,NA
Hopson Developm,754,"1,136,225",0.01,NA
Tian Di Science,600582,"529,200",0.01,NA
Keppel REIT,K71U,"3,911,868",0.01,NA
Chongqing Fulin,2507,"103,000",0.01,NA
Sagax AB,SAGA,"170,670",0.01,NA
Telecom Italia ,TITR,"10,559,074",0.01,NA
China Hongqiao ,1378,"4,083,067",0.01,NA
TAV Havalimanla,TAVHL.E,"316,983",0.01,NA
Ashmore Group p,ASHM,"863,629",0.01,NA
Teijin Ltd,3401,"342,958",0.01,NA
Land & Houses P,LH-F,"6,991,308",0.01,NA
Benesse Holding,9783,"127,209",0.01,NA
Ashtrom Group L,ASHG,"68,981",0.01,NA
Raizen SA,RAIZ4,"552,941",0.01,NA
COSCO SHIPPING ,1199,"3,509,097",0.01,NA
Inner Mongolia ,600863,"851,600",0.01,NA
SOHO China Ltd,410,"3,455,542",0.01,NA
Alpha Group,2292,"166,500",0.01,NA
NongShim Co. Lt,4370,"6,108",0.01,NA
DaShenLin Pharm,603233,"34,704",0.01,NA
Guangdong Baoli,690,"260,700",0.01,NA
Indah Kiat Pulp,INKP,"4,906,400",0.01,NA
Jiangxi Bank Co,1916,"543,000",0.01,NA
Ourpalm Co. Ltd,300315,"867,600",0.01,NA
Shenwan Hongyua,6806,"2,496,800",0.01,NA
Alfa SAB de CV,ALFAA,"4,675,775",0.01,NA
SK Biopharmaceu,326030,"44,878",0.01,NA
Surgutneftegas ,SNGS,"3,872,600",0.01,NA
Tangshan Jidong,401,"170,400",0.01,NA
China National ,600536,"93,300",0.01,NA
Ooredoo QPSC,ORDS,"1,521,618",0.01,NA
Livzon Pharmace,513,"45,600",0.01,NA
TBS Holdings In,9401,"52,717",0.01,NA
Foshan Haitian ,603288,"198,338",0.01,NA
Qatar Aluminum ,QAMC,"5,076,011",0.01,NA
Shanghai Bailia,900923,"271,016",0.01,NA
Dah Sing Bankin,2356,"642,105",0.01,NA
Eternal Materia,1717,"1,893,104",0.01,NA
Medmix AG,MEDX,"32,480",0.01,NA
China Resources,600062,"108,900",0.01,NA
Total Access Co,DTAC-F,"1,190,149",0.01,NA
Inner Mongolia ,900948,"1,865,614",0.01,NA
Alpha Services ,ALPHA,"3,916,932",0.01,NA
Shanghai M&G St,603899,"62,300",0.01,NA
Jiangsu King's ,603369,"156,706",0.01,NA
China Internati,601995,"99,400",0.01,NA
Formosa Taffeta,1434,"1,874,000",0.01,NA
Zhejiang Wanliy,2434,"177,600",0.01,NA
Bank Danamon In,BDMN,"1,024,127",0.01,NA
Kaneka Corp,4118,"105,536",0.01,NA
Shanghai Pharma,601607,"225,444",0.01,NA
OCI Co. Ltd,10060,"33,302",0.01,NA
Zhejiang Yongta,2326,"113,715",0.01,NA
Porto Seguro SA,PSSA3,"168,812",0.01,NA
Hanmi Pharm Co,128940,"13,484",0.01,NA
Calbee Inc,2229,"139,195",0.01,NA
Guangxi Liugong,528,"139,600",0.01,NA
AMOREPACIFIC Gr,2790,"53,210",0.01,NA
Wiwynn Corp,6669,"159,000",0.01,NA
Takashimaya Co,8233,"261,126",0.01,NA
OKUMA Corp,6103,"53,863",0.01,NA
Beijing Capital,694,"3,385,292",0.01,NA
RENOVA Inc,9519,"83,500",0.01,NA
Singapore Press,T39,"2,937,937",0.01,NA
Wuchan Zhongda ,600704,"654,300",0.01,NA
Huaxin Cement C,600801,"187,800",0.01,NA
Renishaw plc,RSW,"64,336",0.01,NA
DeNA Co. Ltd,2432,"98,082",0.01,NA
Ganfeng Lithium,1772,"112,279",0.01,NA
Benefit One Inc,2412,"109,468",0.01,NA
Tokai Carbon Co,5301,"365,743",0.01,NA
Yangzijiang Shi,BS6,"3,869,296",0.01,NA
KWG Living Grou,3913,"1,434,130",0.01,NA
Guangdong Elect,539,"220,800",0.01,NA
Foxconn Industr,601138,"507,700",0.01,NA
Hoshine Silicon,603260,"68,000",0.01,NA
Nihon Kohden Co,6849,"134,920",0.01,NA
Lao Feng Xiang ,900905,"391,321",0.01,NA
Abu Dhabi Islam,ADIB,"2,716,803",0.01,NA
Zhejiang Sanhua,2050,"459,470",0.01,NA
Savola Group,2050,"493,378",0.01,NA
Shanghai Baosig,900926,"1,090,229",0.01,NA
Taiwan Glass In,1802,"3,058,089",0.01,NA
Magnitogorsk Ir,MAGN,"3,955,368",0.01,NA
Orient Corp,8585,"1,080,348",0.01,NA
Lee & Man Paper,2314,"2,624,583",0.01,NA
Shenzhen New Na,2314,"188,500",0.01,NA
Anritsu Corp,6754,"262,060",0.01,NA
Alkem Laborator,ALKEM,"44,909",0.01,NA
Champion REIT,2778,"3,749,530",0.01,NA
Piraeus Financi,TPEIR,"1,075,233",0.01,NA
Kerry Propertie,683,"1,104,233",0.01,NA
Sharp Corp./Jap,6753,"365,490",0.01,NA
PSG Group Ltd,PSG,"292,195",0.01,NA
Dowa Holdings C,5714,"83,714",0.01,NA
Elecom Co. Ltd,6750,"85,724",0.01,NA
Dubai Investmen,DIC,"3,858,174",0.01,NA
Information Ser,4812,"41,600",0.01,NA
Shandong Chenmi,1812,"1,085,798",0.01,NA
L'Occitane Inte,973,"852,105",0.01,NA
Old Mutual Ltd,OMU,"562,975",0.01,NA
Shanghai Jinjia,900934,"518,925",0.01,NA
Paradise Co. Lt,34230,"83,187",0.01,NA
Guangdong HEC T,600673,"432,553",0.01,NA
Emaar Developme,EMAARDEV,"1,561,250",0.01,NA
Shufersal Ltd,SAE,"227,012",0.01,NA
Lotte Shopping ,23530,"21,223",0.01,NA
Siam Makro PCL,MAKRO-F,"633,710",0.01,NA
Hangzhou Tigerm,300347,"103,929",0.01,NA
Transmissora Al,TAEE11,"400,996",0.01,NA
Gazit-Globe Ltd,GZT,"126,514",0.01,NA
BKW AG,BKW,"32,768",0.01,NA
Lojas Americana,LAME4,"1,697,485",0.01,NA
Sasa Polyester ,SASA.E,"308,687",0.01,NA
Severstal PAO,CHMF,"56,174",0.01,NA
Cummins India L,CUMMINSIND,"253,601",0.01,NA
JL Mag Rare-Ear,300748,"26,600",0.01,NA
Plaza SA,MALLPLAZA,"540,607",0.01,NA
Yulon Motor Co,2201,"1,048,377",0.01,NA
Morinaga & Co. ,2201,"70,546",0.01,NA
Brilliance Chin,1114,"5,101,410",0.01,NA
AEON REIT Inves,3292,"2,753",0.01,NA
Jointo Energy I,600,"86,600",0.01,NA
City Developmen,C09,"875,191",0.01,NA
Dialog Group Bh,DIALOG,"8,559,300",0.01,NA
Indorama Ventur,IVL-F,"3,943,515",0.01,NA
Hunan Valin Ste,932,"787,000",0.01,NA
Shenzhen Neptun,78,"410,300",0.01,NA
Dongsuh Cos. In,26960,"56,812",0.01,NA
360 Security Te,601360,"444,199",0.01,NA
BOC Aviation Lt,2588,"380,126",0.01,NA
Mouwasat Medica,4002,"79,339",0.01,NA
Valiant Co. Ltd,2643,"115,600",0.01,NA
Dongfang Electr,600875,"275,284",0.01,NA
China Construct,601939,"4,772,000",0.01,NA
Ez Tec Empreend,EZTC3,"184,500",0.01,NA
DIC Corp,4631,"150,930",0.01,NA
Internet Initia,3774,"100,700",0.01,NA
Credit Saison C,8253,"286,790",0.01,NA
Genting Bhd,GENTING,"4,217,600",0.01,NA
Tsumura & Co,4540,"123,690",0.01,NA
Kansai Nerolac ,KANSAINER,"233,508",0.01,NA
Huayu Automotiv,600741,"405,269",0.01,NA
Sime Darby Prop,SIMEPROP,"6,255,305",0.01,NA
Shanghai Jinjia,600754,"85,420",0.01,NA
SF Holding Co. ,2352,"338,895",0.01,NA
Mapfre SA,MAP,"1,865,396",0.01,NA
Samsung Securit,16360,"119,588",0.01,NA
Multiplan Empre,MULT3,"487,917",0.01,NA
Shanghai Huayi ,900909,"421,647",0.01,NA
Aramex PJSC,ARMX,"276,460",0.01,NA
Rengo Co. Ltd,3941,"380,097",0.01,NA
GDS Holdings Lt,9698,"18,463",0.01,NA
Bank of Zhengzh,2936,"909,910",0.01,NA
Taiwan Fertiliz,1722,"1,377,000",0.01,NA
Sansan Inc,4443,"37,562",0.01,NA
OFILM Group Co,2456,"343,700",0.01,NA
China Evergrand,3333,"3,687,461",0.01,NA
Krung Thai Bank,KTB-F,"11,615,062",0.01,NA
Doosan Bobcat I,241560,"45,264",0.01,NA
Nippo Corp,1881,"95,044",0.01,NA
Cia de Saneamen,SBSP3,"625,885",0.01,NA
Suzuken Co. Ltd,9987,"131,109",0.01,NA
Kasikornbank PC,KBANK-R,"658,837",0.01,NA
NAURA Technolog,2371,"65,600",0.01,NA
Svenska Handels,SHB,"99,743",0.01,NA
Hyundai Mipo Do,10620,"38,119",0.01,NA
AEON Financial ,8570,"206,674",0.01,NA
Vamos Locacao d,VAMO3,"360,651",0.01,NA
Genius Electron,3406,"162,000",0.01,NA
Fraser & Neave ,F&N,"184,700",0.01,NA
Chengdu Kanghon,2773,"49,600",0.01,NA
Tibet Cheezheng,2287,"22,700",0.01,NA
China State Con,3311,"3,235,767",0.01,NA
Daido Steel Co,5471,"64,755",0.01,NA
Dongfang Electr,1072,"826,891",0.01,NA
China Everbrigh,165,"1,488,662",0.01,NA
M Dias Branco S,MDIA3,"222,386",0.01,NA
JA Solar Techno,2459,"210,800",0.01,NA
Ming Yuan Cloud,909,"1,073,000",0.01,NA
S-1 Corp,12750,"36,114",0.01,NA
Shenzhen Intern,152,"1,733,160",0.01,NA
3SBio Inc,1530,"2,306,769",0.01,NA
Pearl Abyss Cor,263750,"58,798",0.01,NA
H Lundbeck A/S,LUN,"107,065",0.01,NA
Shinko Electric,6967,"121,000",0.01,NA
SSANGYONG C&E C,3410,"206,496",0.01,NA
Huizhou Desay S,2920,"68,900",0.01,NA
Ford Otomotiv S,FROTO.E,"113,244",0.01,NA
Cinda Real Esta,600657,"377,000",0.01,NA
Shangri-La Asia,69,"2,026,616",0.01,NA
Shenzhen Overse,69,"1,036,600",0.01,NA
Health & Happin,1112,"273,604",0.01,NA
Ping An Healthc,1833,"727,708",0.01,NA
Fawaz Abdulaziz,4240,"131,570",0.01,NA
SKC Co. Ltd,11790,"35,409",0.01,NA
Shui On Land Lt,272,"6,392,076",0.01,NA
Gamuda Bhd,GAMUDA,"4,103,000",0.01,NA
Jiangsu Yoke Te,2409,"59,700",0.01,NA
AU Optronics Co,2409,"6,705,000",0.01,NA
China Baoan Gro,9,"342,200",0.01,NA
United Energy G,467,"13,790,205",0.01,NA
Suning.com Co. ,2024,"1,189,500",0.01,NA
Marfrig Global ,MRFG3,"684,000",0.01,NA
Shandong Publis,601019,"145,100",0.01,NA
CIFI Holdings G,884,"6,562,590",0.01,NA
Henan Shuanghui,895,"406,100",0.01,NA
Konica Minolta ,4902,"840,862",0.01,NA
Petronas Gas Bh,PETGAS,"1,077,950",0.01,NA
Seven Bank Ltd,8410,"1,168,881",0.01,NA
Nippon Kayaku C,4272,"303,776",0.01,NA
China Molybdenu,603993,"1,243,091",0.01,NA
Inner Mongolia ,601216,"923,300",0.01,NA
Hengdian Group ,2056,"246,000",0.01,NA
Liuzhou Iron & ,601003,"140,100",0.01,NA
Toly Bread Co. ,603866,"45,628",0.01,NA
Itoham Yonekyu ,2296,"234,117",0.01,NA
FF Group,FFGRP,"60,219",0.01,NA
True Corp. PCL,TRUE-F,"18,337,762",0.01,NA
Sberbank of Rus,SBER,"2,249",0.01,NA
TIM SA/Brazil,TIMS3,"1,342,230",0.01,NA
Iluka Resources,ILU,"779,446",0.01,NA
Industrial Bank,24110,"473,517",0.01,NA
Fangda Carbon N,600516,"485,516",0.01,NA
Bank of Beijing,601169,"2,851,600",0.01,NA
Anhui Anke Biot,300009,"214,728",0.01,NA
Oracle Financia,OFSS,"49,554",0.01,NA
Shanghai Tunnel,600820,"499,144",0.01,NA
Chongqing Water,601158,"213,400",0.01,NA
Zhen Ding Techn,4958,"1,211,000",0.01,NA
Changzhou Xingy,601799,"31,900",0.01,NA
Shanghai Jahwa ,600315,"86,600",0.01,NA
China West Cons,2302,"50,600",0.01,NA
Golden Agri-Res,E5H,"11,662,820",0.01,NA
Evergrande Prop,6666,"6,468,000",0.01,NA
Barwa Real Esta,BRES,"3,500,850",0.01,NA
REC Ltd,RECLTD,"1,731,100",0.01,NA
LS Corp,6260,"32,952",0.01,NA
Zhejiang Weimin,603568,"86,218",0.01,NA
Huaibei Mining ,600985,"267,200",0.01,NA
Haier Smart Hom,600690,"832,796",0.01,NA
Joinn Laborator,6127,"155,900",0.01,NA
Mapletree North,RW0U,"4,247,776",0.01,NA
Aarti Industrie,AARTIIND,"347,133",0.01,NA
AirAsia Group B,AIRASIA,"2,772,300",0.01,NA
SooChow Securit,601555,"496,620",0.01,NA
Penta-Ocean Con,1893,"526,697",0.01,NA
AES Andes SA,AESANDES,"6,275,836",0.01,NA
Universal Robin,URC,"1,675,459",0.01,NA
Hua Hong Semico,1347,"937,633",0.01,NA
Wangfujing Grou,600859,"128,900",0.01,NA
Leyard Optoelec,300296,"328,500",0.01,NA
Takara Bio Inc,4974,"90,361",0.01,NA
Chongqing Rural,3618,"4,452,181",0.01,NA
Bank of Shangha,601229,"1,950,691",0.01,NA
Paz Oil Co. Ltd,PZOL,"17,613",0.01,NA
China Huarong A,2799,"19,420,157",0.01,NA
Alps Alpine Co,6770,"385,307",0.01,NA
Zhejiang Yasha ,2375,"228,011",0.01,NA
Medipal Holding,7459,"265,157",0.01,NA
Shenzhen Aisidi,2416,"83,700",0.01,NA
Arcelik AS,ARCLK.E,"344,382",0.01,NA
Shenzhen Agricu,61,"223,300",0.01,NA
Tiger Brands Lt,TBS,"315,888",0.01,NA
Bangkok Express,BEM-F,"14,679,782",0.01,NA
Jasa Marga Pers,JSMR,"3,751,819",0.01,NA
Luxshare Precis,2475,"934,239",0.01,NA
Eregli Demir ve,EREGL.E,"2,515,961",0.01,NA
China National ,601985,"1,886,600",0.01,NA
Agile Group Hol,3383,"2,613,881",0.01,NA
Abdullah Al Oth,4001,"83,485",0.01,NA
Anhui Conch Cem,600585,"388,800",0.01,NA
Kandenko Co. Lt,1942,"203,463",0.01,NA
Activia Propert,3279,"1,285",0.01,NA
Jafron Biomedic,300529,"92,784",0.01,NA
Trip.com Group ,9961,"12,402",0.01,NA
Berger Paints I,BERGEPAINT,"436,083",0.01,NA
SATS Ltd,S58,"1,173,517",0.01,NA
Sany Heavy Indu,600031,"1,117,000",0.01,NA
United Co. RUSA,RUAL,"4,778,250",0.01,NA
GungHo Online E,3765,"82,975",0.01,NA
Shanghai 2345 N,2195,"1,648,370",0.01,NA
Bancolombia SA,BCOLOMBIA,"473,052",0.01,NA
SIA Engineering,S59,"402,016",0.01,NA
Yunnan Aluminiu,807,"408,900",0.01,NA
Xinhua Winshare,811,"829,439",0.01,NA
United Tractors,UNTR,"2,829,212",0.01,NA
Solus Advanced ,336370,"20,228",0.01,NA
Sichuan Hebang ,603077,"1,261,800",0.01,NA
Relo Group Inc,8876,"193,806",0.01,NA
Alony Hetz Prop,ALHE,"196,736",0.01,NA
Wuhu Sanqi Inte,2555,"254,300",0.01,NA
Toyoda Gosei Co,7282,"136,020",0.01,NA
Times China Hol,1233,"1,348,693",0.01,NA
GRG Banking Equ,2152,"328,787",0.01,NA
SG Micro Corp,300661,"31,300",0.01,NA
China East Educ,667,"765,303",0.01,NA
Saudi Airlines ,6004,"73,116",0.01,NA
LX Holdings Cor,383800,"73,052",0.01,NA
Shanghai Waigao,600648,"61,500",0.01,NA
Fresnillo plc,FRES,"347,048",0.01,NA
Exide Industrie,EXIDEIND,"846,098",0.01,NA
Shikun & Binui ,SKBN,"388,013",0.01,NA
Bangkok Bank PC,BBL-R,"1,035,900",0.01,NA
Tianshan Alumin,2532,"218,800",0.01,NA
China Life Insu,601628,"507,500",0.01,NA
Shenzhen Kaifa ,21,"225,500",0.01,NA
Beijing Tiantan,600161,"182,121",0.01,NA
China Jushi Co,600176,"518,653",0.01,NA
Muangthai Capit,MTC-F,"1,296,062",0.01,NA
Power Construct,601669,"1,390,000",0.01,NA
Metro Pacific I,MPI,"25,464,466",0.01,NA
Shun Tak Holdin,242,"3,237,139",0.01,NA
Cia de Locacao ,LCAM3,"621,100",0.01,NA
Sankyo Co. Ltd,6417,"87,460",0.01,NA
Baidu Inc,9888,"6,830",0.01,NA
Li Auto Inc,2015,"67,281",0.01,NA
China Petroleum,600028,"2,951,500",0.01,NA
Shikoku Electri,9507,"285,887",0.01,NA
Yantai Changyu ,200869,"389,084",0.01,NA
GS Yuasa Corp,6674,"140,025",0.01,NA
Magnit PJSC,MGNT,"59,842",0.01,NA
Bank of Chengdu,601838,"169,900",0.01,NA
UOL Group Ltd,U14,"919,618",0.01,NA
TCL Technology ,100,"1,838,300",0.01,NA
Yuhan Corp,100,"86,694",0.01,NA
Ube Industries ,4208,"185,376",0.01,NA
Sichuan Chuanto,600674,"601,900",0.01,NA
China Galaxy Se,6881,"6,990,117",0.01,NA
Macau Legend De,1680,"2,438,000",0.01,NA
Yuan Longping H,998,"169,100",0.01,NA
G-bits Network ,603444,"12,600",0.01,NA
Shenzhen Everwi,300115,"156,497",0.01,NA
ZTO Express Cay,2057,"15,906",0.01,NA
Goldwin Inc,8111,"66,401",0.01,NA
Swire Propertie,1972,"2,018,892",0.01,NA
Kunlun Tech Co,300418,"264,200",0.01,NA
Westone Informa,2268,"109,498",0.01,NA
Saab AB,SAAB,"174,485",0.01,NA
Whitehaven Coal,WHC,"1,635,781",0.01,NA
Godrej Industri,GODREJIND,"147,850",0.01,NA
Shenzhen Transs,688036,"101,627",0.01,NA
Yangtze Optical,601869,"90,800",0.01,NA
Sembcorp Marine,S51,"33,387,765",0.01,NA
Seazen Holdings,601155,"290,897",0.01,NA
Samsung Card Co,29780,"55,040",0.01,NA
Jardine Cycle &,C07,"186,188",0.01,NA
East Group Co. ,300376,"263,800",0.01,NA
Yonyou Network ,600588,"477,962",0.01,NA
Sugi Holdings C,7649,"66,028",0.01,NA
Eternal Asia Su,2183,"296,300",0.01,NA
GMR Infrastruct,GMRINFRA,"3,997,146",0.01,NA
China National ,601117,"698,100",0.01,NA
Bloomberry Reso,BLOOM,"5,731,041",0.01,NA
Mahindra & Mahi,M&MFIN,"1,113,541",0.01,NA
China Resources,3320,"3,095,232",0.01,NA
Bata India Ltd,BATAINDIA,"112,282",0.01,NA
Harbin Boshi Au,2698,"142,800",0.01,NA
Guangzhou Shiyu,2841,"27,397",0.01,NA
Southern Provin,3050,"130,766",0.01,NA
1&1 AG,1U1,"79,036",0.01,NA
Jiangling Motor,200550,"105,836",0.01,NA
Meinian Oneheal,2044,"510,640",0.01,NA
Shenzhen Inovan,300124,"340,700",0.01,NA
Digital Telecom,DIF-F,"9,393,439",0.01,NA
Wolong Electric,600580,"172,500",0.01,NA
Fila Holdings C,81660,"95,116",0.01,NA
Ningbo Joyson E,600699,"163,500",0.01,NA
Kangwon Land In,35250,"194,608",0.01,NA
Yonghui Superst,601933,"1,221,497",0.01,NA
C&S Paper Co. L,2511,"158,800",0.01,NA
Enerjisa Enerji,ENJSA.E,"428,357",0.01,NA
Distell Group H,DGH,"145,773",0.01,NA
Mitsubishi Mate,5711,"233,600",0.01,NA
Suntec Real Est,T82U,"3,857,366",0.01,NA
Suzhou Dongshan,2384,"206,200",0.01,NA
SDIC Capital Co,600061,"587,784",0.01,NA
OSG Corp,6136,"142,740",0.01,NA
Jiajiayue Group,603708,"66,000",0.01,NA
Petronas Dagang,PETDAG,"659,600",0.01,NA
Double Medical ,2901,"19,400",0.01,NA
AVICOPTER plc,600038,"78,400",0.01,NA
China Airlines ,2610,"4,903,913",0.01,NA
Bank Syariah In,BRIS,"4,904,900",0.01,NA
Zhejiang Huace ,300133,"240,100",0.01,NA
